038 0 kituset kitunen
038 0 lukuset lukunen
038 0 nokoset nokonen
038 0 avajaiset avajainen
038 0 varpaiset varpainen
038 0 vyötäiset vyötäinen
038 0 alkajaiset alkajainen
038 0 arpajaiset arpajainen
038 0 kuuliaiset kuuliainen
038 0 lähtiäiset lähtiäinen
038 0 läksiäiset läksinen
038 0 naamiaiset naamiainen
038 0 näkäräiset näkäräinen
038 0 ristiäiset ristiäinen
038 0 vihkiäiset vihkiäinen
038 0 harjakaiset harjakainen
038 0 jäähyväiset jäähyväinen
038 0 kastajaiset kastajainen
038 0 kihlajaiset kihlajainen
038 0 maistiaiset maistiainen
038 0 rikkojaiset rikkojainen
038 0 rääppiäiset rääppiäinen
038 0 tappajaiset tappajainen
038 0 kruunajaiset kruunajainen
038 0 maistajaiset maistajainen
038 0 päättäjäiset päättäjäinen
038 0 sinunlaisesi -
038 0 lopettajaiset lopettajainen
038 0 maahanpaniaiset paniainen
038 0 harjannostajaiset nostajainen
038 0 penkinpainajaiset painajainen
038 0 seppeleensitojaiset sitojainen
038 0 virkaanasettajaiset asettajainen
039 0 kidukset kidus
039 0 anopikset anopis
039 0 lehdekset lehdes
039 0 persukset persus
039 0 sukkikset sukkis
039 0 viinakset viinas
039 0 kaverukset kaverus
039 0 kehruukset kehruus
039 0 persaukset persaus
039 0 sisälmykset sisälmys
039 0 kumppanukset kumppanus
039 0 kälykset kälys
039 0 tulukset tulus
039 0 kaimakset kaimas
039 0 langokset langos
039 0 mensikset mensis
039 0 pitkikset pitkis
039 0 siskokset siskos
039 0 persuukset persuus
039 0 sisarekset sisarus
039 0 toverukset toverus
039 0 ystävykset ystävys
039 0 naapurukset naapurus
039 0 tuttavukset tuttavus
041 0 lunnaat lunnas
041 0 valjaat valjas
041 0 rynttyyt ryntty
041 A tikkaat tikas 
041 C rattaat ratas
041 I maltaat mallas
048 0 alkeet alke
048 0 harteet harte
048 0 hyntteet hynte
048 0 ryntteet ryntte
048 0 pukeet puke
048 0 perkeet perke
048 0 rääppeet rääppe
048 0 tamineet tamine
048 B kamppeet kampe
048 F lauteet laude
048 L rahkeet rahje
049 J tanner tanner
